,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,long,lat
303,381625,Al Goldstein Summer Speed Series,2018-08-15T19:00:00+00:00,2018-08-15T21:00:00+00:00,Parks Department,Special Event,Brooklyn,"Prospect Park: Park Drive - WHOLE DRIVE ,Prospect Park: LeFrak Center at Lakeside",,,55,78,-73.96416110000001,40.6572752
304,381625,Al Goldstein Summer Speed Series,2018-08-22T19:00:00+00:00,2018-08-22T21:00:00+00:00,Parks Department,Special Event,Brooklyn,"Prospect Park: Park Drive - WHOLE DRIVE ,Prospect Park: LeFrak Center at Lakeside",,,55,78,-73.96416110000001,40.6572752
305,381638,solar gaze,2018-08-26T13:00:00+00:00,2018-08-26T16:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: Pier I Cafe,,,7,20,-73.988689,40.779855
306,381642,star gazing,2018-09-02T20:00:00+00:00,2018-09-02T23:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: Pier I Cafe,,,7,20,-73.988689,40.779855
307,381667,Pier I Pics,2018-08-15T18:00:00+00:00,2018-08-15T23:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: Pier I Cafe,,,7,20,-73.988689,40.779855
308,381667,Pier I Pics,2018-08-22T18:00:00+00:00,2018-08-22T23:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park South: Pier I Cafe,,,7,20,-73.988689,40.779855
309,381675,Game Days,2018-08-14T10:00:00+00:00,2018-08-14T14:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
310,381675,Game Days,2018-08-15T10:00:00+00:00,2018-08-15T14:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
311,381675,Game Days,2018-08-21T10:00:00+00:00,2018-08-21T14:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
312,381675,Game Days,2018-08-22T10:00:00+00:00,2018-08-22T14:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
313,381675,Game Days,2018-08-28T10:00:00+00:00,2018-08-28T14:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
314,381675,Game Days,2018-08-29T10:00:00+00:00,2018-08-29T14:00:00+00:00,Parks Department,Special Event,Manhattan,West Harlem Piers: West Harlem Piers,,,9,26,-73.9610999,40.8194924
315,381679,68th Annual Holcombe Rucker Summer Basketball League,2018-08-11T09:00:00+00:00,2018-08-11T17:00:00+00:00,Parks Department,Special Event,Manhattan,Col. Young Playground: Basketball-01,,,10,32,-73.9355258,40.8193351
316,381679,68th Annual Holcombe Rucker Summer Basketball League,2018-08-12T09:00:00+00:00,2018-08-12T17:00:00+00:00,Parks Department,Special Event,Manhattan,Col. Young Playground: Basketball-01,,,10,32,-73.9355258,40.8193351
317,381700,Skate Clinic,2018-08-30T17:00:00+00:00,2018-08-30T20:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park: Skate Park Plaza-RSP,,,9,24,-73.9706814,40.8049302
318,381700,Skate Clinic,2018-08-31T17:00:00+00:00,2018-08-31T20:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park: Skate Park Plaza-RSP,,,9,24,-73.9706814,40.8049302
319,381700,Skate Clinic,2018-09-01T17:00:00+00:00,2018-09-01T20:00:00+00:00,Parks Department,Special Event,Manhattan,Riverside Park: Skate Park Plaza-RSP,,,9,24,-73.9706814,40.8049302
320,381714,Celebration,2018-08-18T13:00:00+00:00,2018-08-18T15:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Cop Cot,,,64,22,-73.9765048,40.7669241
321,381720,Celebration,2018-08-14T12:00:00+00:00,2018-08-14T14:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,,64,22,-73.97303629999999,40.77763789999999
322,381729,Celebration,2018-08-24T12:00:00+00:00,2018-08-24T14:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Bow Bridge,,,64,22,-73.9718243,40.7757932
323,381730,Celebration,2018-08-18T17:00:00+00:00,2018-08-18T18:00:00+00:00,Parks Department,Special Event,Manhattan,"Fort Tryon Park: Linden Terrace ,Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden",,,12,34,-73.9344866,40.8602314
324,381734,Swing,2018-09-08T16:00:00+00:00,2018-09-08T20:00:00+00:00,Parks Department,Special Event,Manhattan,"Marcus Garvey Park: Amphitheater ,Jackie Robinson Park: Bandshell",,,"10, 11","25, 30",-73.9437629,40.8044257
325,381743,Celebration,2018-09-06T11:00:00+00:00,2018-09-06T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,,64,22,-73.97303629999999,40.77763789999999
326,381744,SSS CPW94 Summer 18 August,2018-08-13T09:00:00+00:00,2018-08-13T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
327,381744,SSS CPW94 Summer 18 August,2018-08-14T09:00:00+00:00,2018-08-14T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
328,381744,SSS CPW94 Summer 18 August,2018-08-15T09:00:00+00:00,2018-08-15T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
329,381744,SSS CPW94 Summer 18 August,2018-08-16T09:00:00+00:00,2018-08-16T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
330,381744,SSS CPW94 Summer 18 August,2018-08-17T09:00:00+00:00,2018-08-17T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
331,381744,SSS CPW94 Summer 18 August,2018-08-20T09:00:00+00:00,2018-08-20T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
332,381744,SSS CPW94 Summer 18 August,2018-08-21T09:00:00+00:00,2018-08-21T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
333,381744,SSS CPW94 Summer 18 August,2018-08-22T09:00:00+00:00,2018-08-22T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
334,381744,SSS CPW94 Summer 18 August,2018-08-23T09:00:00+00:00,2018-08-23T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
335,381744,SSS CPW94 Summer 18 August,2018-08-24T09:00:00+00:00,2018-08-24T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
336,381744,SSS CPW94 Summer 18 August,2018-08-27T09:00:00+00:00,2018-08-27T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
337,381744,SSS CPW94 Summer 18 August,2018-08-28T09:00:00+00:00,2018-08-28T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
338,381744,SSS CPW94 Summer 18 August,2018-08-29T09:00:00+00:00,2018-08-29T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,64,22,-73.9635883,40.7863006
