,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4382,419728,Celebration,2018-08-18T12:00:00+00:00,2018-08-18T19:00:00+00:00,Parks Department,Special Event,Bronx,Mill Pond Park: Barbecue Permits,,,4,44
4383,419734,Barbecue,2018-08-26T12:00:00+00:00,2018-08-26T19:00:00+00:00,Parks Department,Special Event,Bronx,Mill Pond Park: Barbecue Permits,,,4,44
4384,419747,Celebration,2018-08-18T12:00:00+00:00,2018-08-18T16:00:00+00:00,Parks Department,Special Event,Brooklyn,Herbert Von King Park: Large Lawn,,,3,79
4385,419778,Party,2018-08-11T10:00:00+00:00,2018-08-11T18:00:00+00:00,Parks Department,Special Event,Manhattan,Morningside Park: West 114th St Picnic Area,,,9,26
4386,419813,Celebration,2018-08-17T18:00:00+00:00,2018-08-17T20:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,,64,22
4387,419848,Stoked Surf,2018-08-11T12:00:00+00:00,2018-08-11T17:00:00+00:00,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach,,,14,100
4388,419852,Stoked Surf,2018-08-18T12:00:00+00:00,2018-08-18T17:00:00+00:00,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach,,,14,100
4389,419891,East 23rd Street Block Party,2018-08-12T10:00:00+00:00,2018-08-12T18:00:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,EAST 23 STREET between AVENUE U and AVENUE V,Full,Full Street Closure,15,61
4390,419913,Party,2018-09-08T12:00:00+00:00,2018-09-08T17:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Great Lawn South West Lawn,,,64,22
4391,419922,United Sherpa Annual Summer Sports,2018-09-01T09:00:00+00:00,2018-09-01T19:00:00+00:00,Parks Department,Special Event,Manhattan,"Randall's Island Park: Wards Meadow Lawns ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-75",,,11,25
